open_time,close_time,side,entry_price,exit_price,quantity,leverage,margin,pnl,pnl_pct,fees,reason,capital_after
2026-02-25T09:32:59.389Z,2026-02-25T09:33:09.011Z,SHORT,65457.00,65497.30,0.005666,15,24.73,-0.38,-1.53,0.1484,SL,494.16
2026-02-25T09:36:58.798Z,2026-02-25T09:46:57.759Z,SHORT,65421.80,65464.80,0.005665,15,24.71,-0.39,-1.59,0.1483,SL,493.77
2026-02-25T09:47:58.997Z,2026-02-25T09:48:43.130Z,SHORT,65452.00,65500.00,0.005658,15,24.69,-0.42,-1.71,0.1482,SL,493.35
2026-02-25T09:49:58.869Z,2026-02-25T10:01:04.298Z,LONG,65509.90,65581.80,0.005648,15,24.67,0.26,1.05,0.1481,TP,493.61
2026-02-25T10:01:59.091Z,2026-02-25T10:02:59.546Z,LONG,65506.90,65473.00,0.005651,15,24.68,-0.34,-1.38,0.1480,SL,493.27
2026-02-25T10:03:59.139Z,2026-02-25T10:04:20.178Z,SHORT,65455.90,65490.10,0.005652,15,24.66,-0.34,-1.39,0.1480,SL,492.93
2026-02-25T10:06:59.690Z,2026-02-25T10:08:55.004Z,SHORT,65463.60,65499.90,0.005647,15,24.65,-0.35,-1.44,0.1479,SL,492.58
2026-02-25T10:09:59.405Z,2026-02-25T10:10:56.459Z,LONG,65516.50,65474.90,0.005639,15,24.63,-0.38,-1.56,0.1477,SL,492.19
2026-02-25T10:11:59.694Z,2026-02-25T10:13:05.236Z,SHORT,65456.10,65497.90,0.005640,15,24.61,-0.38,-1.56,0.1477,SL,491.81
2026-02-25T10:14:59.053Z,2026-02-25T10:15:15.747Z,LONG,65532.30,65600.00,0.005629,15,24.59,0.23,0.95,0.1476,TP,492.04
2026-02-25T10:16:00.383Z,2026-02-25T10:18:43.130Z,LONG,65524.40,65480.10,0.005632,15,24.60,-0.40,-1.62,0.1476,SL,491.65
2026-02-25T10:21:59.188Z,2026-02-25T10:24:59.621Z,SHORT,65421.30,65347.00,0.005636,15,24.58,0.27,1.11,0.1474,TP,491.92
2026-02-25T10:25:58.902Z,2026-02-25T10:36:26.198Z,SHORT,65354.60,65388.10,0.005645,15,24.60,-0.34,-1.37,0.1476,SL,491.58
2026-02-25T10:38:00.029Z,2026-02-25T10:44:33.545Z,SHORT,65359.60,65390.50,0.005641,15,24.58,-0.32,-1.31,0.1475,SL,491.26
2026-02-25T10:48:00.038Z,2026-02-25T10:52:32.750Z,LONG,65436.60,65402.60,0.005631,15,24.56,-0.34,-1.38,0.1473,SL,490.92
2026-02-25T10:56:58.771Z,2026-02-25T11:03:12.480Z,SHORT,65365.70,65306.60,0.005633,15,24.55,0.19,0.76,0.1472,TP,491.11
2026-02-25T11:03:58.972Z,2026-02-25T11:05:10.570Z,SHORT,65297.70,65325.00,0.005641,15,24.56,-0.30,-1.23,0.1474,SL,490.80
2026-02-25T11:05:59.228Z,2026-02-25T11:08:24.137Z,SHORT,65215.70,65256.80,0.005644,15,24.54,-0.38,-1.55,0.1473,SL,490.43
2026-02-25T11:09:59.776Z,2026-02-25T11:11:47.574Z,SHORT,65258.00,65300.10,0.005636,15,24.52,-0.38,-1.57,0.1472,SL,490.04
2026-02-25T11:12:58.979Z,2026-02-25T11:14:55.234Z,SHORT,65286.90,65209.20,0.005629,15,24.50,0.29,1.19,0.1469,TP,490.33
2026-02-25T11:14:59.524Z,2026-02-25T11:21:56.636Z,SHORT,65209.20,65248.20,0.005640,15,24.52,-0.37,-1.50,0.1471,SL,489.96
2026-02-25T11:28:58.767Z,2026-02-25T11:30:48.401Z,LONG,65343.50,65302.10,0.005624,15,24.50,-0.38,-1.55,0.1469,SL,489.58
2026-02-25T11:31:59.615Z,2026-02-25T11:38:03.678Z,LONG,65310.30,65384.70,0.005622,15,24.48,0.27,1.11,0.1470,TP,489.86
2026-02-25T11:38:59.571Z,2026-02-25T11:43:28.123Z,LONG,65397.00,65358.60,0.005618,15,24.49,-0.36,-1.49,0.1469,SL,489.49
2026-02-25T11:44:59.997Z,2026-02-25T11:50:03.666Z,LONG,65398.50,65357.30,0.005614,15,24.47,-0.38,-1.55,0.1468,SL,489.11
2026-02-25T11:51:59.086Z,2026-02-25T12:02:16.839Z,LONG,65367.30,65425.90,0.005612,15,24.46,0.18,0.75,0.1468,TP,489.30
2026-02-25T12:02:58.954Z,2026-02-25T12:03:20.187Z,LONG,65439.20,65405.20,0.005608,15,24.46,-0.34,-1.38,0.1468,SL,488.96
2026-02-25T12:03:59.327Z,2026-02-25T12:06:10.856Z,LONG,65395.20,65355.00,0.005608,15,24.45,-0.37,-1.53,0.1466,SL,488.59
2026-02-25T12:07:00.690Z,2026-02-25T12:07:20.612Z,SHORT,65300.40,65338.50,0.005612,15,24.43,-0.36,-1.48,0.1466,SL,488.23
2026-02-25T12:10:00.535Z,2026-02-25T12:15:41.085Z,LONG,65441.30,65550.00,0.005595,15,24.41,0.46,1.90,0.1466,TP,488.69
2026-02-25T12:15:58.756Z,2026-02-25T12:16:09.559Z,LONG,65528.90,65480.10,0.005593,15,24.43,-0.42,-1.72,0.1466,SL,488.27
2026-02-25T12:17:00.395Z,2026-02-25T12:19:13.630Z,LONG,65501.10,65586.00,0.005591,15,24.41,0.33,1.35,0.1466,TP,488.60
2026-02-25T12:19:59.383Z,2026-02-25T12:22:32.027Z,LONG,65680.80,65794.90,0.005579,15,24.43,0.49,2.01,0.1467,TP,489.09
2026-02-25T12:22:58.866Z,2026-02-25T12:24:22.452Z,LONG,65863.40,65786.40,0.003713,10,24.45,-0.38,-1.57,0.0978,SL,488.70
2026-02-25T12:24:58.891Z,2026-02-25T12:48:34.858Z,LONG,65732.30,65878.40,0.003717,10,24.44,0.45,1.83,0.0978,TP,489.15
2026-02-25T12:50:00.678Z,2026-02-25T12:50:23.693Z,LONG,65978.00,66090.20,0.005560,15,24.46,0.48,1.96,0.1469,TP,489.63
2026-02-25T12:51:59.176Z,2026-02-25T12:52:32.899Z,LONG,66004.90,66130.00,0.005564,15,24.48,0.55,2.25,0.1470,TP,490.17
2026-02-25T12:53:58.879Z,2026-02-25T12:55:13.913Z,LONG,66122.80,66052.00,0.005560,15,24.51,-0.54,-2.21,0.1470,SL,489.63
2026-02-25T12:55:59.228Z,2026-02-25T13:01:21.274Z,LONG,65977.90,66137.20,0.005566,15,24.48,0.74,3.03,0.1471,TP,490.37
2026-02-25T13:02:59.558Z,2026-02-25T13:12:55.818Z,LONG,66115.40,66033.70,0.005563,15,24.52,-0.60,-2.46,0.1470,SL,489.77
2026-02-25T13:14:00.565Z,2026-02-25T13:28:17.259Z,LONG,66056.40,66197.20,0.005561,15,24.49,0.64,2.60,0.1471,TP,490.41
2026-02-25T13:29:00.159Z,2026-02-25T13:30:26.302Z,LONG,66186.00,66124.10,0.005557,15,24.52,-0.49,-2.01,0.1471,SL,489.92
2026-02-25T13:37:00.624Z,2026-02-25T13:42:14.871Z,LONG,66210.90,66322.00,0.005550,15,24.50,0.47,1.92,0.1471,TP,490.39
2026-02-25T13:43:00.530Z,2026-02-25T13:43:18.196Z,LONG,66362.10,66305.30,0.005542,15,24.52,-0.46,-1.89,0.1471,SL,489.92
2026-02-25T13:45:00.640Z,2026-02-25T13:46:18.364Z,LONG,66279.20,66398.90,0.005544,15,24.50,0.52,2.11,0.1471,TP,490.44
2026-02-25T13:46:59.676Z,2026-02-25T13:47:52.866Z,LONG,66291.50,66421.70,0.005549,15,24.52,0.58,2.35,0.1473,TP,491.02
2026-02-25T13:49:00.034Z,2026-02-25T13:49:48.568Z,LONG,66486.00,66628.20,0.005539,15,24.55,0.64,2.62,0.1475,TP,491.66
2026-02-25T13:51:00.641Z,2026-02-25T13:52:14.834Z,LONG,66425.10,66338.10,0.005551,15,24.58,-0.63,-2.57,0.1474,SL,491.03
2026-02-25T13:52:59.787Z,2026-02-25T13:54:45.631Z,LONG,66373.60,66283.90,0.005548,15,24.55,-0.64,-2.63,0.1472,SL,490.38
